Prod_Desc_norm,ocorrencias,exemplos,subcats
cabo de baixa tensao 240mm2 0 6 1kv isolacao em epr 90o livre de halogenio instalacao tipo b1,3,"['Cabo de baixa tensão (240mm²) - 0,6/1kV - Isolação em EPR/90º / Livre de halogênio - Instalação tipo B1']",['EPI: Equipamentos Proteção Individual']
cabo de baixa tensao 50mm2 0 6 1kv isolacao em epr 90o livre de halogenio instalacao tipo b1,3,"['Cabo de baixa tensão (50mm²) - 0,6/1kV - Isolação em EPR/90º / Livre de halogênio - Instalação tipo B1']",['EPI: Equipamentos Proteção Individual']
cabo de baixa tensao 70mm2 0 6 1kv isolacao em epr 90o livre de halogenio instalacao tipo b1,3,"['Cabo de baixa tensão (70mm²) - 0,6/1kV - Isolação em EPR/90º / Livre de halogênio - Instalação tipo B1']",['EPI: Equipamentos Proteção Individual']
aduela de concreto pre moldada 3 00 x 3 00,3,"['Aduela De Concreto Pré Moldada 3,00 X 3,00']",['Aduela de Concreto']
aguarras 900 ml incolor,3,['Aguarrás 900 Ml Incolor'],['Acessórios para Banheiro']
alicate universal,3,"['ALICATE UNIVERSAL', 'Alicate universal']",['Ferramentas Manuais']
prego c cabeca 12 12 1kg,3,['Prego c/ cabeça 12/12 - 1Kg'],['Ferragens para Fixar e Montar']
prego c cabeca 17 17 1kg,3,['Prego c/ cabeça 17/17 - 1Kg'],['Ferragens para Fixar e Montar']
prego c cabeca 17x27,3,"['PREGO C/ CABECA 17X27', 'PREGO C/CABEÇA 17X27']",['Ferragens para Fixar e Montar']
punho de acionamento manipulador de chave seccionadora instalar a uma altura de 1 20m,3,"['Punho de acionamento/ manipulador de chave seccionadora - Instalar a uma altura de 1,20m']","['Tomadas, interruptores e plugues']"
quadro geral de baixa tensao qgbt,3,"['Quadro geral de baixa tensão, QGBT']",['EPI: Equipamentos Proteção Individual']
rastelo ancinho metalico com cabo de madeira de 120cm,3,['Rastelo ancinho metálico com cabo de madeira de 120cm'],['Ferramentas Manuais']
