Prod_Desc_norm,ocorrencias,exemplos,subcats
cabo eletrico flexivel 1 00un 750 volts 6 00mm2 cobre tempera mole azul,3,"['CABO ELETRICO - FLEXÍVEL 1,00UN 750 VOLTS 6,00MM2 COBRE TEMPERA: MOLE AZUL']",['Cabos Elétricos']
cabo eletrico flexivel 1 5mm2 1 00un 450 750v 1 50mm2 cobre eletroliticos azul,3,"['CABO ELÉTRICO - FLEXÍVEL 1,5MM² 1,00UN 450/750V 1,50MM2 COBRE ELETROLÍTICOS AZUL']",['Cabos Elétricos']
cabo flexivel 1 50 mm2 preto pvc,3,"['Cabo flexível 1,50 mm² preto PVC']",['Cabos Elétricos']
cabo flexivel 1 50 mm2 vermelho pvc,3,"['Cabo flexível 1,50 mm² vermelho PVC']",['Cabos Elétricos']
cabo flexivel 10mm2,3,"['CABO FLEXÍVEL 10MM²', 'Cabo flexível 10mm²']",['Cabos Elétricos']
cabo flexivel 25mm2,3,"['CABO FLEXÍVEL 25MM²', 'Cabo flexível 25mm²']",['Cabos Elétricos']
cabo flexivel pp 2x2 5mm,3,"['CABO FLEXÍVEL PP 2X2,5MM', 'Cabo flexível PP 2X2,5mm']",['Cabos Elétricos']
cabo flexivel pp 3x10mm,3,"['CABO FLEXÍVEL PP 3X10MM', 'Cabo flexível PP 3X10mm']",['Cabos Elétricos']
cabo flexivel pp 3x16mm,3,"['CABO FLEXÍVEL PP 3X16MM', 'Cabo flexível PP 3X16mm']",['Cabos Elétricos']
poste de concreto circular 400 kg h 9 m nbr 8451,3,"['POSTE DE CONCRETO CIRCULAR, 400 KG, H = 9 M (NBR 8451)']","['Artefatos de Concreto', 'Poste de Concreto']"
tinta branca neve acrilica 18lts,3,['Tinta branca neve acrílica 18Lts'],['Verniz e Solvente']
tinta esmalte,3,"['TINTA ESMALTE', 'Tinta Esmalte']","['Revestimentos', 'Verniz e Solvente']"
tinta esmalte azul petroleo 3 6 lts,3,"['Tinta esmalte azul petróleo 3,6 Lts']",['Verniz e Solvente']
tinta esmalte brilhante metal madeira base agua cor branca 3 6lts,3,"['Tinta Esmalte Brilhante metal/madeira-Base Água/Cor branca- 3,6Lts']",['Verniz e Solvente']
tinta esmalte gelo 3 6 lts,3,"['Tinta esmalte gelo 3,6 Lts']",['Verniz e Solvente']
tinta piso cinza medio 18 lts,3,['Tinta Piso Cinza Médio 18 Lts'],['Verniz e Solvente']
tinta piso concreto 18 lts,3,['Tinta Piso Concreto 18 Lts'],['Verniz e Solvente']
tomada dupla 3 polos 2p t 10a sistema x,3,['Tomada Dupla 3 polos (2P+T) 10A Sistema X'],"['Tomadas, interruptores e plugues']"
tomada simples 3 polos 2p t 10a sistema x,3,['Tomada Simples 3 polos (2P+T) 10A Sistema X'],"['Tomadas, interruptores e plugues']"
anel de concreto perfurado pre moldado para sumidouro ø externo 1500mm altura 500mm,3,"['Anel de Concreto perfurado, pré moldado, para Sumidouro, Ø Externo 1500mm, Altura 500mm']","['Aduela de Concreto', 'Sanitário']"
anel de concreto pre moldado para fossa e filtro anaerobio ø externo 1200mm altura 500mm,3,"['Anel de Concreto pré moldado, para fossa e filtro anaeróbio, Ø Externo 1200mm, Altura 500mm']","['Tomadas, interruptores e plugues']"
pincel trincha 1 9 cm,3,"['Pincel trincha 1,9 cm', 'pincel trincha 1,9 cm']",['Ferramentas   para Pintura']
pincel trincha 5 8cm,3,"['Pincel trincha 5,8cm', 'pincel trincha 5,8cm']",['Ferramentas   para Pintura']
caixa d agua 500l,3,['Caixa D’ água 500L'],"['Armazenamento, Captação e Tratamento de Água']"
plafon led drive quadrado sobrepor 29x29,3,['Plafon led drive quadrado sobrepor 29X29'],['Luminárias']
plafon pvc duplo branco,3,['Plafon PVC duplo branco'],['Luminárias']
plafon pvc simples branco,3,['Plafon PVC simples branco'],['Luminárias']
plugue femea 2p t 10 a,3,['Plugue Fêmea 2P + T 10 A'],['Acessórios e Conexões Elétricas']
plugue juncao 2 p t 10a tripolar preto macico,3,['Plugue Junção 2 P + T 10A Tripolar preto maciço'],['Acessórios e Conexões Elétricas']
plugue t a 3 saidas 2 polos terra,3,['Plugue T A 3 Saídas 2 Pólos + Terra'],['Acessórios e Conexões Elétricas']
porca sextavada,3,['Porca sextavada'],"['Ferragens para Fixar e Montar', 'Parafusos e acessórios']"
terminal eletrico olhal pre isolado 8mm,3,"['TERMINAL ELÉTRICO OLHAL PRÉ-ISOLADO 8MM', 'Terminal elétrico olhal pré-isolado 8mm']",['Acessórios e Conexões Elétricas']
terminal eletrico tubular duplo ilhos pre isolado 2 5mm,3,"['TERMINAL ELÉTRICO TUBULAR DUPLO ILHÓS PRÉ-ISOLADO 2,5MM', 'Terminal elétrico tubular duplo ilhós pré-isolado 2,5mm']",['Acessórios e Conexões Elétricas']
terminal eletrico tubular simples ilhos pre isolado 1 5mm,3,"['TERMINAL ELÉTRICO TUBULAR SIMPLES ILHÓS PRÉ-ISOLADO 1,5MM', 'Terminal elétrico tubular simples ilhós pré-isolado 1,5mm']",['Acessórios e Conexões Elétricas']
terminal eletrico tubular simples ilhos pre isolado 10mm,3,"['TERMINAL ELÉTRICO TUBULAR SIMPLES ILHÓS PRÉ-ISOLADO 10MM', 'Terminal elétrico tubular simples ilhós pré-isolado 10mm']",['Acessórios e Conexões Elétricas']
rolo de la 23 cm,3,"['Rolo de lã 23 cm', 'rolo de lã 23 cm']",['Ferramentas para Jardim']
rolo de la antirrespingo economico 23cm c suporte,3,['Rolo de lã antirrespingo econômico 23cm c/ suporte'],['Ferramentas para Jardim']
rolo de pintura em la de carneiro 15cm completo,3,['Rolo de Pintura em lã de carneiro 15cm completo'],['Ferramentas para Jardim']
saida lateral para eletroduto para perfilado de 38 x 38mm de chapa de aco carbono galvanizado,3,"['Saída Lateral para eletroduto, para perfilado de 38 x 38mm, de chapa de aço carbono galvanizado']",['Infraestrutura']
selador acrilico 1000ml,3,['Selador Acrílico 1000ml'],['Verniz e Solvente']
bandeja p pintura 2 7 lts preta,3,"['Bandeja p/ pintura 2,7 Lts - preta']","['Pincéis, Rolos e Acessórios']"
barra chata de inox uns 31803 industrializada medindo 15 x 04 mm,3,['Barra chata de inox UNS 31803 industrializada medindo 15 x 04 mm'],['Barras e tubos INOX']
base para rele 360 fotoeletrica 3 pinos giratoria 220v,3,['Base para relé 360° fotoelétrica 3 pinos giratória 220V'],['Proteções Elétricas']
bloco de concreto meio fio 10x12x30x100,3,['Bloco de concreto meio Fio 10x12x30x100'],['Blocos de Concreto']
porca sextavada rosca ø1 4 de aco carbono galvanizado,3,"[""Porca sextavada, rosca Ø1/4'', de aço carbono galvanizado""]",['Ferragens para Fixar e Montar']
porca sextavada rosca ø3 8 de aco carbono galvanizado,3,"[""Porca sextavada, rosca Ø3/8'', de aço carbono galvanizado""]",['Ferragens para Fixar e Montar']
poste conico continuo em aco galvanizado reto flangeado h 3 m diametro inferior 95 mm,3,"['POSTE CONICO CONTINUO EM ACO GALVANIZADO, RETO, FLANGEADO,  H = 3 M, DIAMETRO INFERIOR = *95* MM', 'POSTE CONICO CONTINUO EM ACO GALVANIZADO, RETO, FLANGEADO, H = 3 M, DIAMETRO INFERIOR = 95 MM']",['Poste Metálico']
cabo flexivel 2 50 mm2 azul pvc,3,"['Cabo flexível 2,50 mm² azul PVC']",['Cabos Elétricos']
manta termoplastica pead geomembrana texturizada em ambas as faces e 1 50 mm nbr 15352,3,"['MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA TEXTURIZADA EM AMBAS AS FACES, E = 1,50 MM ( NBR 15352)', 'MANTA TERMOPLASTICA, PEAD, GEOMEMBRANA TEXTURIZADA EM AMBAS AS FACES, E = 1,50 MM (NBR 15352)', 'Manta Termoplástica, PEAD, Geomembrana Texturizada Em Ambas As Faces , E = 1,50 MM (NBR 15352)']",['Barreiras de Proteção']
martelo unha 27mm cabo de madeira,3,['Martelo unha 27mm cabo de madeira'],['Ferramentas Manuais']
massa acrilica branca 25kg,3,['Massa acrílica branca 25Kg'],['Massa Acrílica']
mata junta h para eletrocalha,3,['Mata junta H para eletrocalha'],['Eletrocalhas']
caixa de passagem em alvenaria com reboco interno e com lastro de brita no2 dimensao 600x600x800,3,['Caixa de passagem em alvenaria com reboco interno e com lastro de brita nº2 - Dimensão 600x600x800'],"['Areia, Pedra Brita, Gesso, Cal e Argila']"
caixa de passagem em alvenaria com reboco interno e com lastro de brita no2 dimensao 800x800x1000,3,['Caixa de passagem em alvenaria com reboco interno e com lastro de brita nº2 - Dimensão 800x800x1000'],"['Tomadas, interruptores e plugues']"
caixa de passagem em alvenaria com reboco interno e com lastro de brita no2 dimensao 800x800x800,3,['Caixa de passagem em alvenaria com reboco interno e com lastro de brita nº2 - Dimensão 800x800x800'],"['Areia, Pedra Brita, Gesso, Cal e Argila']"
caixa para tomada para instalacao em perfilado de 38 x 38mm de chapa de aco carbono galvanizadoo com tampa parafusada de 110 mm de largura 60 mm de comprimento e com 38 mm de profundidade fornecida completa com tomada 2p t 250v 20 a conforme nbr 14136,3,"['Caixa para tomada para instalação em perfilado de 38 x 38mm, de chapa de aço carbono galvanizadoo, com tampa parafusada, de 110 mm de largura, 60 mm de comprimento e com 38 mm de profundidade. Fornecida completa, com Tomada 2P+T, 250V, 20 A, conforme NBR 14136']","['Tomadas, interruptores e plugues']"
parafuso tipo estojo,3,['PARAFUSO TIPO ESTOJO'],['Parafusos e acessórios']
pincel simples 2 5 396 6,3,"['Pincel simples 2,5 - 396/6']",['Ferramentas   para Pintura']
luminaria led 80w,3,"['Luminária LED 80W', 'Luminária LED 80w']",['Luminárias']
luminaria publica de led 100w,3,"['Luminária Pública de LED 100W', 'Luminária pública de LED 100W']",['Luminárias']
luminaria publica de led 150w,3,['Luminária pública de LED 150W'],['Luminárias']
canaleta sistema x branca 20 x 10 c fita dupla face pvc resistente,3,['Canaleta sistema X branca 20 x 10 c/ fita dupla Face PVC resistente'],['Condutos']
cantoneira de aco carbono l76 x 76 x 6 4 mm,3,"['Cantoneira de aço carbono L76 x 76 x 6,4 mm']",['Perfis e chapas em aço carbono']
luminaria_led,3,['Luminária_led'],['Luminárias']
luva de pvc soldavel 50mm,3,['Luva de pvc soldável 50mm'],['Canos e Conexões Hidráulicas']
luva para eletroduto em pvc rigido,3,['Luva para eletroduto em pvc rigido'],['Tubos e Eletrodutos']
luva pvc soldavel lr 25mm x 3 4 com rosca,3,['Luva pvc soldável LR 25mm x 3/4 com rosca'],['Tubos e Eletrodutos']
luva simples dn150mm de pvc rigido branco serie normal conforme nbr 5688,3,"['Luva Simples, DN150mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Canos e Conexões Hidráulicas', 'Sanitário']"
luva simples dn50mm de pvc rigido branco serie normal conforme nbr 5688,3,"['Luva Simples, DN50mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Canos e Conexões Hidráulicas', 'Sanitário']"
luva simples dn75mm de pvc rigido branco serie normal conforme nbr 5688,3,"['Luva Simples, DN75mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Canos e Conexões Hidráulicas', 'Sanitário']"
manilha sapatilha,3,"['MANILHA SAPATILHA', 'Manilha sapatilha']",['Ferragens para Fixar e Montar']
manta asfaltica aluminizada telhado auto adesiva 90cmx10m,3,['Manta Asfáltica Aluminizada Telhado Auto Adesiva 90cmx10m'],['Barreiras de Proteção']
juncao 45 dn50x50mm de pvc rigido branco serie normal conforme nbr 5688,3,"['Junção 45°, DN50x50mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Canos e Conexões Hidráulicas', 'Sanitário']"
junta espiralada,3,['JUNTA ESPIRALADA'],"['Anéis de Vedação', 'Canos e Conexões Hidráulicas']"
kit ferramentas 11 pecas trena martelo estilete alicate chaves de fenda e fixas,3,"['Kit Ferramentas 11 peças (trena, martelo, estilete, alicate, chaves de fenda e fixas', 'Kit Ferramentas 11 peças (trena, martelo, estilete, alicate, chaves de fenda e fixas)']",['Ferramentas Manuais']
laje de fundo para fossa e filtro anaerobio ø externo 1200mm,3,"['Laje de Fundo para fossa e filtro anaeróbio, Ø Externo 1200mm']","['Tomadas, interruptores e plugues']"
laje para fossa filtro anaerobio e sumidouro ø externo 1200mm,3,"['Laje para fossa, filtro anaeróbio e Sumidouro, Ø Externo 1200mm']","['Tomadas, interruptores e plugues']"
laje perfurada para filtro anaerobio ø externo 1200mm,3,"['Laje Perfurada para filtro anaeróbio, Ø Externo 1200mm']","['Tomadas, interruptores e plugues']"
lampada bulbo led 20 w bivolt 127 220 led tecnologico,3,['Lâmpada Bulbo Led 20 w bivolt 127/220 Led tecnológico'],['Lâmpadas']
lampada led bulbo 20w alta potencia 6500k branco frio 220v,3,['Lâmpada led bulbo 20w alta potência 6500k branco frio 220v'],['Lâmpadas']
leito para cabos tipo escada galvanizado 300 x 100,3,"['Leito para cabos, tipo escada, galvanizado 300 x 100']","['Tomadas, interruptores e plugues']"
leito para cabos tipo escada galvanizado 300 x 200,3,"['Leito para cabos, tipo escada, galvanizado 300 x 200']","['Tomadas, interruptores e plugues']"
lixas grao 120 folha 225x275mm,3,['Lixas grão 120 Folha 225X275mm'],['Acessórios e Consumíveis para Ferramentas']
disjuntor din trifasico 63a,3,"['DISJUNTOR DIN TRIFÁSICO 63A', 'Disjuntor DIN trifásico 63A']",['Proteções Elétricas']
disjuntor tripolar caixa moldada,3,['DISJUNTOR TRIPOLAR CAIXA MOLDADA'],['Disjuntores e Fusíveis']
te 90 dn150x150mm de pvc rigido branco serie normal conforme nbr 5688,3,"['Tê 90°, DN150x150mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Cabos e Fios Elétricos', 'Sanitário']"
te 90 dn50x50mm de pvc rigido branco serie normal conforme nbr 5688,3,"['Tê 90°, DN50x50mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Cabos e Fios Elétricos', 'Sanitário']"
te de reducao pvc soldavel 90o 25mm,3,['TE de redução pvc soldável 90º 25mm'],['Canos e Conexões Hidráulicas']
te normal 25x25x25mm ppr termofusao,3,"['Tê Normal 25x25x25mm, PPR Termofusão']",['Água Quente']
telha cumeeira de fibrocimento ondulada,3,['TELHA CUMEEIRA DE FIBROCIMENTO ONDULADA'],['Telhas']
argamassa para reboco media saco 20kg,3,['Argamassa para reboco Média saco 20kg'],['Argamassas']
terminal eletrico femea pre isolado azul 2 5mm,3,"['TERMINAL ELÉTRICO FÊMEA PRÉ-ISOLADO AZUL 2,5MM', 'Terminal elétrico fêmea pré-isolado azul 2,5mm']",['Acessórios e Conexões Elétricas']
lixas grao 150 folha 225x275mm,3,['Lixas grão 150 Folha 225X275mm'],['Acessórios e Consumíveis para Ferramentas']
luminaria led 150w,3,"['Luminária LED 150W', 'Luminária LED 150w']",['Luminárias']
carrinho de mao,3,"['CARRINHO DE MÃO', 'Carrinho de mão']",['Carrinhos de Carga e Rodas']
chapa a c 200x200 1 4,3,['Chapa A/C 200x200 #1/4”'],['Insumos metálicos']
joelho 45 dn75mm de pvc rigido branco serie normal conforme nbr 5688,3,"['Joelho 45°, DN75mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Cabos e Fios Elétricos', 'Sanitário']"
joelho 90 dn100mm de pvc rigido branco serie normal conforme nbr 5688,3,"['Joelho 90°, DN100mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Tomadas, interruptores e plugues']"
joelho 90 dn150mm de pvc rigido branco serie normal conforme nbr 5688,3,"['Joelho 90°, DN150mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Cabos e Fios Elétricos', 'Sanitário']"
joelho 90 dn40mm de pvc rigido branco serie normal conforme nbr 5688,3,"['Joelho 90°, DN40mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Cabos e Fios Elétricos', 'Sanitário']"
joelho 90 dn50mm de pvc rigido branco serie normal conforme nbr 5688,3,"['Joelho 90°, DN50mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Cabos e Fios Elétricos', 'Sanitário']"
joelho de pvc soldavel 90o 20mm,3,['Joelho de pvc soldável 90º 20mm'],['Canos e Conexões Hidráulicas']
joelho de pvc soldavel 90o 25mm,3,['Joelho de pvc soldável 90º 25mm'],['Canos e Conexões Hidráulicas']
chave boia eletrica cabo de 2m,3,"['CHAVE BOIA ELÉTRICA CABO DE 2M', 'Chave boia elétrica cabo de 2m']",['Equipamentos Elétricos']
chave de fenda 3mm p teste eletrico isolada,3,['Chave de Fenda 3mm p/ teste elétrico isolada'],['Ferramentas Manuais']
chuveiro eletrico,3,"['CHUVEIRO ELÉTRICO', 'Chuveiro elétrico']","['Cabos e Fios Elétricos', 'Chuveiros']"
juncao 45 de reducao dn100x50mm de pvc rigido branco serie normal conforme nbr 5688,3,"['Junção 45° de Redução, DN100x50mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Tomadas, interruptores e plugues']"
juncao 45 dn100x100mm de pvc rigido branco serie normal conforme nbr 5688,3,"['Junção 45°, DN100x100mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Tomadas, interruptores e plugues']"
juncao 45 dn150x150mm de pvc rigido branco serie normal conforme nbr 5688,3,"['Junção 45°, DN150x150mm, de PVC Rígido Branco Série Normal, conforme NBR 5688']","['Canos e Conexões Hidráulicas', 'Sanitário']"
fita isolante c 20m,3,"['FITA ISOLANTE C/20M', 'Fita isolante c/20m']",['Acessórios e Conexões Elétricas']
fita isolante em pvc flexivel,3,['Fita isolante em PVC flexível'],['Acessórios e Conexões Elétricas']
fita veda rosca 18mm x 25m branca,3,['Fita Veda Rosca 18mm x 25M branca'],['Outros - Materiais Hidráulicos']
flange para canaleta de chapa de aco carbono galvanizada a fogo para fixacao externa com dimensoes 114 x 38 x 38 x 38 mm,3,"['Flange para canaleta de chapa de aço carbono galvanizada a fogo, para fixação externa com dimensões 114 x 38 x 38 x 38 mm']",['Tubos e conexões industriais']
grampo u,3,['GRAMPO U'],['Ferragens para Fixar e Montar']
janela basculante em aluminio,3,['JANELA BASCULANTE EM ALUMÍNIO'],['Acessórios de Portas e Janelas']
cola adesivo instantaneo base de cianoacrilato,3,"['COLA/ADESIVO INSTANTÂNEO, BASE DE CIANOACRILATO']",['Adesivos e Colas']
condicionador de ar split tipo piso teto,3,"['Condicionador de ar split, tipo piso teto']",['Ar Condicionado']
cubiculo de derivacao_mt cubiculo compacto modular com chave seccionadora de tres posicoes isolada em sf6 com acionamento manual por alavanca classe 15 kv corrente ate 1250 a 16 ka com detector capacitivo de tensao e cadeado de protecao na posicao de aterramento e placa indicativa de advertencia disjuntor a vacuo 1250 a 16 ka 15 ka com rele de protecao de sobrecorrente digitral,3,"['Cubiculo de derivação_MT, cubiculo compacto, modular com chave seccionadora de três posicões, isolada em SF6, com acionamento manual por alavanca, Classe 15 kV, Corrente até 1250 A, 16 kA, com detector capacitivo de tensão e cadeado de proteção na posição de aterramento e placa indicativa de advertência. Disjuntor á vacuo, 1250 A, 16 kA/15 kA, Com rele de proteção de sobrecorrente digitral']",['EPI: Equipamentos Proteção Individual']
cubiculo de medicao geral_mt cubiculo de mt compacto modular para instalacao dos transformadores de potencial e corrente ip 2x classe de tensao 15 kv,3,"['Cubiculo de medição geral_MT - Cubiculo de MT, compacto modular para instalação dos transformadores de potencial e corrente, IP 2X, Classe de tensão 15 kV']",['Formas']
cubiculo de protecao cubuiculo de_mt compacto modular com chave seccionadora de tres posicoes isoladas sf6 com acionamento manual por alavanca classe 15 kv corrente ate 1250 a 16 ka com detector capacitor de advertencia disjuntor a vacuo 1250 a 16 ka 15 ka com rele de protecao de sobrecorrente e direcionamento e microprocessaor funcoes 50 51 50 51n intertravamento eletricamente,3,"['Cubiculo de proteção - Cubuiculo de_MT, compacto modular com chave seccionadora de três posições, isoladas SF6, com acionamento manual por alavanca, Classe 15 kV, Corrente até 1250 A, 16 kA, Com detector capacitor de advertência. Disjuntor á vacuo, 1250 A, 16 kA/ 15 kA, com rele de proteção de sobrecorrente e direcionamento e microprocessaor Funções 50/51 50/51N, intertravamento eletricamente.']",['Cabos e Fios Elétricos']
cubilulo de derivacao para tr cubiculo de_mt compacto modular com chave seccionadora de tres posicoes isolad a em sf6 com acionamento manual por alavanca classe 15 kv corrente ate 630 a 16 ka com base para fusivel hh e fusivel de 70 a,3,"['Cubilulo de derivação para TR - Cubiculo de_MT , compacto, modular com chave seccionadora de três posições, isolad a em SF6, com acionamento manual por alavanca, Classe 15 kV, corrente até 630 A, 16 kA, com base para fusivel HH e fusivel de 70 A.']",['Ferragens para Fixar e Montar']
curva 90 para eletroduto em pvc rigido,3,"['Curva 90 para eletroduto em pvc rigido', 'Curva 90° para eletroduto em pvc rigido']",['Tubos e Eletrodutos']
filtro de linha 6 tomadas 2p t 10a bivolt,3,['Filtro de Linha 6 Tomadas 2P+T 10A bivolt'],"['Tomadas, interruptores e plugues']"
